title,subject,headline,description,location,address,city,state,zipecode,rssrtype,dates1,item.date,destructdate,renovationdate,dateaprox,orginarc,photo,rights,eventtype,latitude,longitude,objectid,coordinates_accuracy
Free African Society,,,,Center City,6th and Lombard Sts.,Philadelphia,PA,19147,,,0,0,0,TRUE,unknown,https://hsp.org/sites/default/files/legacy_files/migrated/richardallenabsolomjones_half.jpg,,,39.990821,-75.168428,dreamlab11,doubt
Grendel's Lair,entertainment,entertainment,,Center City,500 South St.,Philadelphia,PA,19147,,,0,0,0,FALSE,unknown,https://www.preservationalliance.com/images/aia/500SouthSt.jpg,,,39.941747,-75.150875,dreamlab12,success
Historic St. George's Methodist Church,,,,Center City,235 N. 4th St.,Philadelphia,PA,19106,church,"1767, 1812",1767,0,1812,FALSE,unknown,https://tile.loc.gov/storage-services/service/pnp/habshaer/pa/pa0800/pa0801/photos/139825pv.jpg,,,39.992082,-75.138301,dreamlab13,doubt
"James Forten, Sr. House / Charlotte Forten House",,,,Center City,336 Lombard St.,Philadelphia,PA,19147,dwelling,,0,0,0,FALSE,unknown,https://www.preservationalliance.com/images/aia/336LombardStb.jpg,Preservation Alliance for Greater Philadelphia,,39.943947,-75.159541,dreamlab14,doubt
Liberation of Jane Johnson,,,,Center City,211 S. Columbus Blvd.,Philadelphia,PA,19106,,,0,0,0,FALSE,unknown,https://npgallery.nps.gov/GetAsset/2d7bad29-73e1-4518-9753-e9ffcd3da775/proxyhires?,,,39.990821,-75.168428,dreamlab15,doubt
Lombard Street Riot,,,,Center City,6th & Lombard,Philadelphia,PA,19147,,n/a,NA,0,0,TRUE,unknown,https://philadelphiaencyclopedia.org/wp-content/uploads/2013/05/RiotIllustration.jpg,,,39.933744,-75.161795,dreamlab16,doubt
Mayor Richardson Dilworth House,,,,Center City,223-225 S. 6th St.,Philadelphia,PA,19106,dwelling,,0,0,0,TRUE,unknown,https://www.ocfrealty.com/wp-content/uploads/2019/01/IMG_8030.jpg,,,39.949982,-75.150576,dreamlab17,doubt
Octavius V. Catto House Site,,,,Center City,814 South St.,Philadelphia,PA,19147,dwelling,demolished ca. 1990,0,1990,0,FALSE,unknown,https://ids.si.edu/ids/deliveryService?id=NPG-NPG_2006_8CattoM-000001,,,39.942303,-75.156023,dreamlab18,success
Octavius V. Catto School Building #2,,,,Center City,2028-2038 Lombard St.,Philadelphia,PA,19146,school,,0,0,0,TRUE,unknown,https://upload.wikimedia.org/wikipedia/commons/1/1c/Octavius_V_Catto_Secondary_School_Colored_Lombard_Street_above_Twentieth_Philadelphia_PA_%281897%29.jpg,,,39.943947,-75.159541,dreamlab19,doubt
ODUNDE Festival,entertainment,entertainment,"Founded in 1975, Odunde claims to be the largest African American street festival in the United States.",Center City,23rd and South Sts.,Philadelphia,PA,19146,,,0,0,0,TRUE,unknown,,,,39.990821,-75.168428,dreamlab20,doubt
Pennsylvania Abolition Society,,,,Center City,"Front St., below Chestnut St.",Philadelphia,PA,19106,,,0,0,0,TRUE,unknown,https://www.blackpast.org/wp-content/uploads/The-Pennsylvania-Abolition-Societry-Executive-Committee-Sophia-Smith-Collection-Smith-College.jpg,,,39.990821,-75.168428,dreamlab21,doubt
Pennsylvania Hall,,,,Center City,6th and Haines Sts.,Philadelphia,PA,,hall,1838; burned 1838,1838,1838,0,TRUE,unknown,https://upload.wikimedia.org/wikipedia/commons/c/c8/Pennsylvania_Hall_%28Philadelphia%29.jpg,,,39.990821,-75.168428,dreamlab22,doubt
Robert Bogle Catering Establishment,,,,Center City,112 S. 8th St.,Philadelphia,PA,19107,caterer,,0,0,0,FALSE,unknown,https://libwww.freelibrary.org/images/blog/FLPBlog/resized/bogle-portrait.png,,,39.94909,-75.15425,dreamlab23,success
Robert Mara Adger House,,,,Center City,823 South St.,Philadelphia,PA,19147,dwelling,,0,0,0,FALSE,unknown,https://i.pinimg.com/originals/d0/e4/cb/d0e4cb08475f423afd6860cb029abb25.jpg,,,39.943754,-75.166382,dreamlab24,doubt
Thaddeus Kosciuszko House / Kosciuszko National Memorial,,,,Center City,301-303 Pine St.,Philadelphia,PA,19106,dwelling,1750-1780,0,0,0,TRUE,unknown,https://www.preservationalliance.com/images/aia/301-3PineSt.jpg,Preservation Alliance for Greater Philadelphia,,39.953331,-75.224626,dreamlab25,doubt
Wesley A.M.E. Zion Church,,,,Center City,1500-1504 Lombard St.,Philadelphia,PA,19146,church,"1925, 1926",1925,0,0,TRUE,unknown,https://www.preservationalliance.com/images/aia/1500-04LombardSt.jpg,Preservation Alliance for Greater Philadelphia,,39.942036,-75.144592,dreamlab26,doubt
Baker Bowl,,,,North,N. Broad and W. Lehigh Ave.,Philadelphia,PA,19132,stadium,1887; demolished 1950,1887,1950,0,TRUE,unknown,https://www.baseball-almanac.com/images/Baker_Bowl_postcard.jpg,,,39.990821,-75.168428,dreamlab27,doubt
Black Panthers Headquarters,,,,North,1928 Cecil B. Moore Ave.,Philadelphia,PA,19121,,,0,0,0,FALSE,unknown,https://images.squarespace-cdn.com/content/v1/57cf18ae6b8f5ba693497e1a/1477071113564-EVO9T7SNVSHGKBO1DDQD/image-asset.jpeg?format=2500w,,,39.979651,-75.166851,dreamlab28,success
Cyrus Bustill House ,,,,North,near 3rd and Green Sts.,Philadelphia,PA,19123,dwelling,,0,0,0,TRUE,unknown,https://www.hmdb.org/Photos/19/Photo19214.jpg,,,39.990821,-75.168428,dreamlab29,doubt
David Bustill Bowser House,,,,North,841 N. 4th St.,Philadelphia,PA,19123,dwelling,,0,0,0,FALSE,unknown,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/David_Bustill_Bowser.png/220px-David_Bustill_Bowser.png,,,39.992082,-75.138301,dreamlab30,doubt
Ebenezer Don Carlos Bassett House,,,,North,2121 N. 29th St.,Philadelphia,PA,19121,dwelling,,0,0,0,FALSE,unknown,,,,39.988316,-75.180225,dreamlab31,success
Fair Hill Burial Ground,,,"Burial site of Harriet Forten Purvis, African-American abolitionist, suffragist, and co-founder of the Philadelphia Female Anti-Slavery Society. Other abolitionists, mostly Quaker, are also buried here. [From Wikipedia]",North,2901 Germantown Ave.,Philadelphia,PA,19133,cemetery,1842,1824,0,0,FALSE,unknown,,,,39.99678,-75.146065,dreamlab32,success
Jessie Redmon Fauset House,,,,North,1853 N. 17th St.,Philadelphia,PA,19121,dwelling,ca. 1885,1885,0,0,FALSE,unknown,https://media.newyorker.com/photos/59097e3bc14b3c606c10999a/master/pass/Jerkins-TheForgottenWorkofJessieRedmonFauset.jpg,,,39.982106,-75.161803,dreamlab33,success
John W. Coltrane House,,,,North,1511 N. 33rd St.,Philadelphia,PA,19121,dwelling,1895,1985,0,0,FALSE,unknown,https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/ColtraneH.jpg/500px-ColtraneH.jpg,,,39.980283,-75.188424,dreamlab34,success
Negro People's Theater of Philadelphia,entertainment,entertainment,,North,311 N. 16th St.,Philadelphia,PA,19102,,,0,0,0,FALSE,unknown,,,,40.042469,-75.146943,dreamlab35,doubt
Pearl Bailey House,entertainment,entertainment,,North,1946 N. 23rd St.,Philadelphia,PA,19121,dwelling,"ca. 1884-1886, Willis G. Hale",1886,0,0,FALSE,Willis G. Hale,https://phillyjazzblog.files.wordpress.com/2015/03/pearl-bailey-house-1.jpg?w=474,,,39.984933,-75.1718,dreamlab36,success
Zoar Methodist Church Site,,,,North,409 Brown St.,Philadelphia,PA,19123,church,,0,0,0,FALSE,unknown,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRC3-IFz85M-EMTeWkvu4VNtOXDyCjiv3GZnYs3Hz1f62Q1rqjUnQQshUKgWfUGoI3LPvA&usqp=CAU,,,39.964018,-75.144913,dreamlab37,success
Robert Purvis Estate,,,,Northeast,Byberry and Thornton Roads,Philadelphia,PA,19154,dwelling,ca. 1770,1770,0,0,TRUE,unknown,https://www.ocfrealty.com/wp-content/uploads/2012/01/IMG_0309-560x420.jpg,,,39.990821,-75.168428,dreamlab38,doubt
Cliveden,,,,Northwest,6401 Germantown Ave.,Philadelphia,PA,19119,"dwelling, museum","1763, 1764",1763,0,0,FALSE,unknown,https://www.preservationalliance.com/images/aia/6401Germantown.jpg,Preservation Alliance for Greater Philadelphia,,40.047285,-75.181627,dreamlab39,success
First Protest Against Slavery / Kunder House,,,,Northwest,5109 Germantown Ave.,Philadelphia,PA,19144,dwelling,,0,0,0,FALSE,unknown,https://www.hmdb.org/Photos1/170/Photo170532.jpg,,,39.973054,-75.141599,dreamlab40,doubt
Germantown Industrial School for Colored Women,,,,Northwest,30 Armat St.,Philadelphia,PA,19144,school,,0,0,0,FALSE,unknown,,,,39.990821,-75.168428,dreamlab41,doubt
Johnson House,MUSEUM,MUSEUM,,Northwest,6306 Germantown Ave.,Philadelphia,PA,19144,dwelling,1768,1768,0,0,FALSE,unknown,https://www.preservationalliance.com/images/aia/6306Germantown.jpg,Preservation Alliance for Greater Philadelphia,,39.973054,-75.141599,dreamlab42,doubt
Sadie T. M. Alexander House,,,,Northwest,700 Westview St.,Philadelphia,PA,19119,dwelling,,0,0,0,FALSE,unknown,https://www.preservationalliance.com/images/aia/700Westview.jpg,Preservation Alliance for Greater Philadelphia,,40.050941,-75.187245,dreamlab43,doubt
Alain Leroy Locke House,,,,South,2221 S. 5th St.,Philadelphia,PA,19148,dwelling,,0,0,0,FALSE,unknown,https://hiddencityphila.org/wp-content/uploads/2021/06/Alain-Locke-home-1.jpg,,,39.947984,-75.149412,dreamlab44,doubt
Christian Street YMCA,,,,South,1724 Christian St.,Philadelphia,PA,19146,young men's Christian association,ca. 1914; rebuilt 1969,1914,0,1969,FALSE,unknown,https://www.preservationalliance.com/images/aia/1724ChristianSt.jpg,Preservation Alliance for Greater Philadelphia,,39.940539,-75.17218,dreamlab45,success
Institute for Colored Youth,,,,South,915 Bainbridge St.,Philadelphia,PA,19147,school,ca. 1865-1866,1865,0,0,FALSE,unknown,https://www.preservationalliance.com/images/aia/915BainbridgeSt.jpg,Preservation Alliance for Greater Philadelphia,,39.942014,-75.15791,dreamlab46,success
Marian Anderson House,,,,South,762 S. Martin St.,Philadelphia,PA,19146,"dwelling, museum",,0,0,0,FALSE,unknown,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/M_Anderson_House_Philly.jpg/500px-M_Anderson_House_Philly.jpg,,,39.9424,-75.174771,dreamlab47,doubt
Mercy Hospital - Site #1,,,,South,17th and Fitzwater Sts.,Philadelphia,PA,19146,hospital,,0,0,0,TRUE,unknown,,,,39.990821,-75.168428,dreamlab48,doubt
Crystal Bird Fauset House,,,,West,5403 Vine St.,Philadelphia,PA,19139,dwelling,,0,0,0,FALSE,unknown,https://www.phila.gov/media/20170308121227/Crystal-Bird-Fauset1-550x360.jpg,,,39.955409,-75.139765,dreamlab49,doubt
Freedom Now Rally (Dr. Martin Luther King Jr.),,,,West,Lancaster and Haverford Aves.,Philadelphia,PA,19104,,,0,0,0,TRUE,unknown,,,,39.990821,-75.168428,dreamlab50,doubt
MOVE site,,,,West,6221 Osage Ave.,Philadelphia,PA,19143,,,0,0,0,FALSE,unknown,,,,39.955692,-75.24687,dreamlab51,success
Shelter for Colored Orphans,,,Founded in Philadelphia by Quaker women in 1822 to care for orphans,West,44th and Haverford Ave.,Philadelphia,PA,19104,orphanage,,0,0,0,TRUE,unknown,,,,39.990821,-75.168428,dreamlab52,doubt
Underground Railroad Museum at Belmont Mansion / American Women's Heritage Society,,,"The American Women's Heritage Society was founded in November 1986 to maintain and restore Belmont Mansion, an eighteenth century house; Estate owner Richard Peters, used the manison as a site in the underground railroad. The Belmont Mansion houses the Underground Railroad Museum",West,2000 Belmont Mansion Dr.,Philadelphia,PA,19131,"dwelling, museum","ca. 1742-1751; many additions and alterations, including ca. 1888 and 1905",1742,0,1888;1905,FALSE,unknown,https://www.philasun.com/wp-content/uploads/2016/02/diaspora_02-28-16b.jpg,,,39.985323,-75.213071,dreamlab53,doubt
Frederick Douglass Memorial Hospital,,,,Center City,1512 or 1522 Lombard St.,Philadelphia,PA,19146,hospital,,0,0,0,TRUE,unknown,,,,39.990821,-75.168428,dreamlab54,doubt
Church of the Advocate,,,,North,1801 W. Diamond St.,Philadelphia,PA,19121,church,"1891, 1897,  Charles M. Burns",0,0,0,FALSE,Charles M. Burns,https://billypenn.com/wp-content/uploads/2019/10/churchoftheadvocate-02crop-1024x576.jpg,,,39.987156,-75.175417,dreamlab55,doubt
North Penn Baptist Church,,,,North,2419-2425 N. 27th St.,Philadelphia,PA,19132,church,"ca. 1911, Charles Wells",1911,0,0,TRUE,Charles Wells,,,,39.985261,-75.177145,dreamlab56,doubt
Greater Exodus Baptist Church / Our Lady of Blessed Sacrament / Central Presbyterian Church,,,,North,708-714 N. Broad St.,Philadelphia,PA,19130,church,"ca. 1877, Collins Autenreith",1877,0,0,TRUE,Collins Autenreith,https://1.bp.blogspot.com/-B9RqF2W50Sk/XQSjxqw1jrI/AAAAAAAAouQ/wJHHBWrYZTUd6sE0d1nuhOI5OSmRe5BDgCLcBGAs/s640/MediaStream%2B%25281%2529.jpg,,,40.010581,-75.150898,dreamlab57,doubt
Uptown Theater,,,"Originally built for the rich people in athe area, the theatre and neighbourhood was taken over by the Africa-Americans in the years following the Great Depression. Actually became the epicenter of Afro-American community and civil rights activism, especially with regard to music.",North,2240 N. Broad St.,Philadelphia,PA,19132,theater,"1927, 1929, E. Magiziner, H. Magiziner",1927,0,0,FALSE,E. Magiziner,https://cdn10.phillymag.com/wp-content/uploads/sites/3/2021/09/Uptown-theater-lede.jpg,,,39.987403,-75.15652,dreamlab58,success
Peter A. B. Widener Mausoleum (Laurel Hill Cemetery),,,"The Mausoleum was designed by Julian Abele, prominant architect and the first Black graduate of the University of Pennsylvania's School of Design. [From: Penn's ""Penn People"" feature]",North,3822 Ridge Ave.,Philadelphia,PA,19132,mausoleum,"mausoleum ca. 1915, Horace Trumbauer (Julian Abele)",1915,0,0,FALSE,Horace Trumbauer (Julian Abele),,,,39.96086,-75.156768,dreamlab59,doubt
Wayland Temple Baptist Church / Columbia Avenue Methodist Church,,,,North,2500 Cecil B. Moore Ave.,Philadelphia,PA,19121,church,"1888, Oscar Frotscher; alterations, 1916, George Savage",1888,0,1916,TRUE,Oscar Frotscher,,,,39.980753,-75.175932,dreamlab60,success
B.M. Oakley Memorial Temple / Trinity Reformed Church,,,,North,1535 N. 7th St.,Philadelphia,PA,19122,church,"1869, Samuel Sloan",1869,0,0,FALSE,Samuel Sloan,,,,39.974826,-75.147168,dreamlab61,success
Zion Baptist Church / St. Paul Reformed Church / Trinity Reformed Church,,,,North,3600 N. Broad St.,Philadelphia,PA,19140,church,"1904, Stearns & Castor; alterations, 1914, Stearns & Castor; alterations, 1973, Eshbach, Glass, Kale & Associates",1904,0,1914;1973,FALSE,Stearns & Castor,,,,40.007963,-75.152024,dreamlab62,success
Freedom Theatre,entertainment,entertainment,Chronicles African-American history in the performing arts; founded by John E. Allen in 1966 with the support of the Black People's Unity Movement,North,1346 N. Broad St.,Philadelphia,PA,19121,theater,"1853, 1865; Stephen D. Button",0,0,0,FALSE,Stephen D. Button,,,,40.010581,-75.150898,dreamlab63,doubt
St. Paul Baptist Church / First Reformed Church Building,,,,North,1000 Wallace St.,Philadelphia,PA,19123,church,"before 1888; alterations, 1916, 1920, 1929, Stuckert & Co.",1888,0,1916;1920;1929,FALSE,Stuckert & Co.,,,,39.963493,-75.217236,dreamlab64,doubt
Berean Presbyterian Church Site / Berean Institute,,,,North,1906-1926 S. College Ave.,Philadelphia,PA,19121,church,"1884; 1888, T. P. Chandler",0,0,0,TRUE,T.P. Chandler,,,,39.972627,-75.173802,dreamlab65,doubt
Berean Presbyterian Church / Bethlehem Presbyterian Church,,,,North,2101 N. Broad St.,Philadelphia,PA,19122,church,"1888, T. P. Chandler; alterations, 1909, 1910, 1915, J. Franklin Stuckert",1888,0,1909;1910;1915,FALSE,T.P. Chandler,,,,39.98487,-75.156197,dreamlab66,success
Universal Negro Improvement Association (UNIA),,,,North,1609-11 Cecil B. Moore Ave.,Philadelphia,PA,19121,,"ca. 1894, Thomas Lonsdale",1894,0,0,TRUE,Thomas Lonsdale,,,,39.979375,-75.161489,dreamlab67,success
Girard College,,,,North,2101 S. College Ave.,Philadelphia,PA,19121,school,"1833, Thomas Ustick Walter; 1968",1833,0,1968,FALSE,Thomas Ustick Walter,https://media.phillyvoice.com/media/images/01-083115_GirardCollege_Carroll.2e16d0ba.fill-735x490.jpg,,,39.972627,-75.173802,dreamlab68,doubt
Union A.M.E. Church / Hedding M. E. Church / Calvary Baptist Church,,,,North,655 N. 16th St.,Philadelphia,PA,19130,church,"before 1859; alterations, 1902, Watson & Huckel; alterations, 1906, C. Davis",1859,0,1902;1906,FALSE,Watson & Huckel,,,,39.966666,-75.163569,dreamlab69,success
Unity Mission / Charles T. Ellis House,,,,North,1430 N. Broad St.,Philadelphia,PA,19121,dwelling,"ca. 1891, William Decker",1891,0,0,FALSE,William Decker,,,,39.975493,-75.15912,dreamlab70,success
Metropolitan Opera House,,,,North,848-860 N. Broad St.,Philadelphia,PA,19130,"opera house, church","1908, William McElfatrick",1908,1908,0,TRUE,William McElfatrick,,,,40.010581,-75.150898,dreamlab71,doubt
Shibe Park / Connie Mack Stadium,,,,North,2701 N. 21st St.,Philadelphia,PA,19132,stadium,"1908-1909, William Steele & Sons Co.; numerous alterations; demolished 1976",1908,1909,0,FALSE,William Steele & Sons Co.,,,,39.983256,-75.168608,dreamlab72,doubt
Divine Lorraine Hotel,,,,North,699 N. Broad St.,Philadelphia,PA,19123,"hotel, apartment building","1894, Willis G. Hale",1894,0,0,FALSE,Willis G. Hale,,,,39.966699,-75.160017,dreamlab73,success
Bethany A.M.E. Church,,,,Northeast,8820 Ashton Rd.,Philadelphia,PA,19136,church,"early 19th century; Elias Chase, builder",1800,0,0,FALSE,Elias Chase,,,,40.058183,-75.027363,dreamlab74,success
Germantown Historical Society / Fromberger House,,,,Northwest,5501-5505 Germantown Ave.,Philadelphia,PA,19144,"dwelling, young women's christian association, church, office building","ca. 1795-96; enlarged 1917; renovated after fire, 1930; rehabbed, 1952-54, G. Edwin",1796,0,1917;1930;1952-1954,TRUE,G. Edwin,https://www.preservationalliance.com/images/aia/5501Germantown.jpg,Preservation Alliance for Greater Philadelphia,,39.973054,-75.141599,dreamlab75,doubt
Northern Home for Children,,,,Northwest,5301 Ridge Ave.,Philadelphia,PA,19128,,"alterations, 1927, Horace Trumbauer (Julian Abele)",0,0,1927,FALSE,Horace Trumbauer (Julian Abele),,,,40.021044,-75.208578,dreamlab76,success
Grace Baptist Church Building #1,,,,Northwest,34-36 E. Sharpnack St.,Philadelphia,PA,19119,church,"1908, Jacob Naschold",1908,0,0,TRUE,Jacob Naschold,https://www.preservationalliance.com/images/aia/34-6ESharpnack.jpg,Preservation Alliance for Greater Philadelphia,,40.049813,-75.183061,dreamlab77,success
Coulter Street School site / Daniel L. Keyser School / Wissahickon Boys and Girls Club,,,,Northwest,328 W. Coulter St.,Philadelphia,PA,19144,school,"ca. 1887-1899, Joseph Anshutz",1887,0,0,FALSE,Joseph Anshutz,https://www.preservationalliance.com/images/aia/328WCoulter.jpg,Preservation Alliance for Greater Philadelphia,,40.026712,-75.176742,dreamlab78,success
Galilee Baptist Church Building,,,,Northwest,457 Roxborough Ave.,Philadelphia,PA,19128,church,"1900, Kennedy & Kelsey",1900,0,0,TRUE,Kennedy & Kelsey,,,,40.028745,-75.213417,dreamlab79,success
Thomas Meehan Public School,,,,Northwest,5347-5353 Pulaski Ave.,Philadelphia,PA,19144,school,"1901, Lloyd Titus",1901,0,0,TRUE,Lloyd Titus,https://www.preservationalliance.com/images/aia/5347Pulaski.jpg,Preservation Alliance for Greater Philadelphia,,40.032722,-75.182942,dreamlab80,doubt
Grace Baptist Church Building #2,,,,Northwest,25 W. Johnson St.,Philadelphia,PA,19144,church,"late 1960s, Mansell, McGettigan & Fugate",1960,0,0,FALSE,"Mansell, McGettigan & Fugate",https://www.preservationalliance.com/images/aia/25WJohnson.jpg,Preservation Alliance for Greater Philadelphia,,40.037799,-75.190539,dreamlab81,doubt
Canaan Baptist Church Building / West Side Presbyterian Church Building,,,,Northwest,5430 Pulaski Ave.,Philadelphia,PA,19144,church,"1891, Mantle Fielding",1891,0,0,FALSE,Mantle Fielding,https://www.preservationalliance.com/images/aia/5430Pulaski.jpg,Preservation Alliance for Greater Philadelphia,,40.028438,-75.177459,dreamlab82,success
Janes Methodist Church Building,,,,Northwest,528 E. Haines St.,Philadelphia,PA,19144,church,"ca. 1898 or 1911, Rankin and Kellogg",1898,0,0,FALSE,Rankin and Kellogg,https://www.preservationalliance.com/images/aia/528EHaines.jpg,Preservation Alliance for Greater Philadelphia,,40.04493,-75.169789,dreamlab83,success
Germantown YMCA,,,,Northwest,5722 Greene St.,Philadelphia,PA,19144,young men's Christian association,"1928, Thomas, Martin & Kirkpatrick",1928,0,0,FALSE,"Thomas, Martin & Kirkpatrick",https://www.preservationalliance.com/images/aia/5722Greene.jpg,Preservation Alliance for Greater Philadelphia,,40.034007,-75.177817,dreamlab84,success
Bethel A.M.E. Church (Germantown) Building #2 / Rialto Theater Building / Tulpehocken Theater Building,,,,Northwest,6153 Germantown Ave.,Philadelphia,PA,19144,church,"1914, architect unknown; alterations, William H. Lee, c. 1936; alterations c.1976",1914,0,0,FALSE,unknown,https://www.preservationalliance.com/images/aia/6153Germantown.jpg,Preservation Alliance for Greater Philadelphia,,40.042148,-75.179724,dreamlab85,success
Bainbridge Club / Hotel Brotherhood USA,,,,South,1523-1529 Bainbridge St.,Philadelphia,PA,19146,clubhouse,"ca. 1919, A. Borzner",1919,0,0,TRUE,A. Borzner,,,,39.942257,-75.161512,dreamlab86,doubt
Gloria Dei Church / Old Swedes' Episcopal Church,,,,South,916 S. Swanson St.,Philadelphia,PA,19147,church,"1677-1698, Andrew Rudman; alterations, 1703-1705, ca. 1733, 1845; alterations, 1896, George Champlin Mason, Jr.",1677,0,1703-1705;1733;1845;1846,FALSE,Andrew Rudman,,,,39.916921,-75.146962,dreamlab87,doubt
Elks Lodge,,,,South,739-43 S. 16th St.,Philadelphia,PA,19146,,"ca. 1928, C. Adams",1928,0,0,TRUE,C. Adams,,,,39.942034,-75.168896,dreamlab88,success
Union Baptist Church Building #2,,,,South,1910 Fitzwater St.,Philadelphia,PA,19146,church,"1913, Charles Bolton & Son; alterations, 1926, Charles Bolton & Son",1913,0,1926,FALSE,Charles Bolton & Son,,,,39.942723,-75.174563,dreamlab89,success
St. Charles Borromeo Church,,,,South,1941 Christian St.,Philadelphia,PA,19146,church,"1876, Edwin Forrest Durang",1876,0,0,FALSE,Edwin Forrest Durang,https://www.preservationalliance.com/images/aia/1941ChristianSt.jpg,Preservation Alliance for Greater Philadelphia,,39.941299,-75.175457,dreamlab90,success
Holy Trinity Baptist Church,,,,South,1818-1824 Bainbridge St.,Philadelphia,PA,19146,church,"1900, Edwin Gilbert of Gilbert & Reid",1900,0,0,TRUE,Edwin Gilbert of Gilbert & Reid,,,,39.942257,-75.161512,dreamlab91,doubt
YWCA - Southwest-Belmont Branch,,,Significant site of Black women's organizing; oldest black Y.W.C.A. branch; founded in 1870,South,1607-15 Catharine St.,Philadelphia,PA,19146,young women's Christian association,"ca. 1922, Erskine, Morris",1922,0,0,TRUE,"Erskine, Morris",,,,39.936955,-75.142769,dreamlab92,doubt
Shiloh Baptist Church #3 / Church of the Holy Apostles,,,,South,2040 Christian St.,Philadelphia,PA,19146,church,"1868-1870, Fraser, Furness & Hewitt; alterations, 1890, George W. Hewitt",1868,0,0,FALSE,"Fraser, Furness & Hewitt",https://www.preservationalliance.com/images/aia/2040ChristianSt.jpg,Preservation Alliance for Greater Philadelphia,,39.941156,-75.17749,dreamlab93,success
Harrison Day Nursery,,,,South,1839-1843 Ellsworth St.,Philadelphia,PA,19146,day care,"1898, Furness, Evans and Co.",1898,0,0,TRUE,"Furness, Evans and Co.",,,,39.933044,-75.146626,dreamlab94,doubt
Zion A.M.E. Church,,,,South,1600 S. 21st St.,Philadelphia,PA,19145,church,"1925-1928, George E. Savage",1925,0,0,FALSE,George E. Savage,,,,39.931847,-75.180092,dreamlab95,success
St. Martha's House / Houston Community Center,,,,South,2029 S. 8th St.,Philadelphia,PA,19148,settlement house,"ca. 1914, Hastings Brockie",1914,0,0,FALSE,Hastings Brockie,,,,39.923225,-75.159555,dreamlab96,success
